class,time_flag,demand_cnt_his,supply_cnt_his
7.0,22,49.083333,53.4875
7.0,23,49.708333,53.7625
7.0,24,46.958333,51.2875
7.0,25,53.625,58.254167
7.0,26,61.416667000000004,66.779167
7.0,27,68.791667,75.075
7.0,28,66.583333,72.37083299999999
7.0,29,67.166667,73.05833299999999
7.0,30,61.833332999999996,67.329167
7.0,31,58.625,63.9375
7.0,32,59.416667000000004,64.2125
7.0,33,62.375,68.108333
7.0,34,73.083333,79.429167
7.0,35,76.333333,83.1875
7.0,36,73.125,79.429167
7.0,37,52.708332999999996,57.38333299999999
7.0,38,48.625,52.8
7.0,39,43.166667,46.429167
7.0,40,42.0,45.329167
7.0,41,39.75,42.9
7.0,42,39.5,42.854167
7.0,43,32.583333,35.2
7.0,44,30.916666999999997,32.954167
7.0,45,31.875,33.0
7.0,46,26.5,27.775
7.0,47,22.916667,23.558332999999998
